Group Number,Activity,Timestamp
125,Solve tasks together,2021-12-24 17:57:00+00:00
125,Recheck/Compare Task Results,2021-12-27 08:07:00+00:00
125,Submit results,2021-12-27 08:15:00+00:00
159,First download of assignment,2021-12-27 07:30:00+00:00
159,Revisit PM Exercise in Moodle,2021-12-27 08:10:00+00:00
159,Coordinate with Assignment Group,2021-12-27 08:39:00+00:00
159,Solve tasks individually,2021-12-27 08:46:00+00:00
159,Recheck/Compare Task Results,2021-12-27 08:51:00+00:00
159,Redo Task(s),2021-12-27 09:00:00+00:00
159,Solve tasks individually,2021-12-27 09:06:00+00:00
159,Recheck/Compare Task Results,2021-12-27 09:11:00+00:00
159,Redo Task(s),2021-12-27 09:16:00+00:00
159,Solve tasks individually,2021-12-27 09:23:00+00:00
159,Recheck/Compare Task Results,2021-12-27 09:29:00+00:00
159,Submit results,2021-12-27 09:36:00+00:00
146,First download of assignment,2021-12-27 07:30:00+00:00
146,Revisit PM Exercise in Moodle,2021-12-27 08:47:00+00:00
146,Coordinate with Assignment Group,2021-12-27 09:02:00+00:00
146,Solve tasks together,2021-12-27 09:17:00+00:00
146,Recheck/Compare Task Results,2021-12-27 09:23:00+00:00
146,Submit results,2021-12-27 09:30:00+00:00
149,First download of assignment,2021-12-27 07:30:00+00:00
149,Revisit PM Exercise in Moodle,2021-12-27 08:57:00+00:00
149,Solve tasks individually,2021-12-27 09:28:00+00:00
149,Coordinate with Assignment Group,2021-12-27 09:30:00+00:00
149,Recheck/Compare Task Results,2021-12-27 09:36:00+00:00
149,Submit results,2021-12-27 09:41:00+00:00
152,First download of assignment,2021-12-27 07:30:00+00:00
152,Revisit PM Exercise in Moodle,2021-12-27 09:08:00+00:00
152,Coordinate with Assignment Group,2021-12-27 09:44:00+00:00
152,Solve tasks together,2021-12-27 09:59:00+00:00
152,Recheck/Compare Task Results,2021-12-27 10:04:00+00:00
152,Submit results,2021-12-27 10:12:00+00:00
157,First download of assignment,2021-12-27 07:30:00+00:00
157,Revisit PM Exercise in Moodle,2021-12-27 09:07:00+00:00
157,Coordinate with Assignment Group,2021-12-27 09:34:00+00:00
157,Solve tasks together,2021-12-27 09:44:00+00:00
157,Recheck/Compare Task Results,2021-12-27 09:53:00+00:00
157,Submit results,2021-12-27 10:03:00+00:00
162,First download of assignment,2021-12-27 07:30:00+00:00
162,Revisit PM Exercise in Moodle,2021-12-27 09:29:00+00:00
162,Solve tasks together,2021-12-27 09:51:00+00:00
162,Recheck/Compare Task Results,2021-12-27 09:58:00+00:00
162,Coordinate with Assignment Group,2021-12-27 10:02:00+00:00
162,Submit results,2021-12-27 10:06:00+00:00
156,First download of assignment,2021-12-27 07:30:00+00:00
156,Revisit PM Exercise in Moodle,2021-12-27 10:07:00+00:00
156,Solve tasks individually,2021-12-27 10:28:00+00:00
156,Recheck/Compare Task Results,2021-12-27 10:35:00+00:00
156,Redo Task(s),2021-12-27 10:44:00+00:00
156,Coordinate with Assignment Group,2021-12-27 10:52:00+00:00
156,Solve tasks individually,2021-12-27 10:58:00+00:00
156,Recheck/Compare Task Results,2021-12-27 11:04:00+00:00
156,Submit results,2021-12-27 11:11:00+00:00
150,First download of assignment,2021-12-27 07:30:00+00:00
150,Revisit PM Exercise in Moodle,2021-12-27 10:41:00+00:00
150,Coordinate with Assignment Group,2021-12-27 11:05:00+00:00
150,Solve tasks individually,2021-12-27 11:07:00+00:00
150,Recheck/Compare Task Results,2021-12-27 11:15:00+00:00
150,Submit results,2021-12-27 11:24:00+00:00
147,First download of assignment,2021-12-27 07:30:00+00:00
147,Revisit PM Exercise in Moodle,2021-12-27 10:48:00+00:00
147,Coordinate with Assignment Group,2021-12-27 11:25:00+00:00
147,Solve tasks individually,2021-12-27 11:27:00+00:00
147,Recheck/Compare Task Results,2021-12-27 11:36:00+00:00
147,Submit results,2021-12-27 11:42:00+00:00
155,First download of assignment,2021-12-27 07:30:00+00:00
155,Revisit PM Exercise in Moodle,2021-12-27 11:05:00+00:00
155,Coordinate with Assignment Group,2021-12-27 11:40:00+00:00
155,Solve tasks together,2021-12-27 11:44:00+00:00
155,Recheck/Compare Task Results,2021-12-27 11:53:00+00:00
155,Submit results,2021-12-27 13:03:00+00:00
161,First download of assignment,2021-12-27 07:30:00+00:00
161,Revisit PM Exercise in Moodle,2021-12-27 11:24:00+00:00
161,Coordinate with Assignment Group,2021-12-27 13:11:00+00:00
161,Solve tasks together,2021-12-27 13:33:00+00:00
161,Recheck/Compare Task Results,2021-12-27 13:38:00+00:00
161,Submit results,2021-12-27 13:44:00+00:00
151,First download of assignment,2021-12-27 07:30:00+00:00
151,Revisit PM Exercise in Moodle,2021-12-27 11:59:00+00:00
151,Solve tasks together,2021-12-27 13:37:00+00:00
151,Recheck/Compare Task Results,2021-12-27 13:43:00+00:00
151,Coordinate with Assignment Group,2021-12-27 13:45:00+00:00
151,Submit results,2021-12-27 13:52:00+00:00
160,First download of assignment,2021-12-27 07:30:00+00:00
160,Revisit PM Exercise in Moodle,2021-12-27 13:33:00+00:00
160,Coordinate with Assignment Group,2021-12-27 14:12:00+00:00
160,Solve tasks together,2021-12-27 14:20:00+00:00
160,Recheck/Compare Task Results,2021-12-27 14:26:00+00:00
160,Submit results,2021-12-27 14:34:00+00:00
158,First download of assignment,2021-12-27 07:30:00+00:00
158,Revisit PM Exercise in Moodle,2021-12-27 14:11:00+00:00
158,Coordinate with Assignment Group,2021-12-27 14:48:00+00:00
158,Solve tasks together,2021-12-27 14:59:00+00:00
158,Recheck/Compare Task Results,2021-12-27 15:07:00+00:00
158,Submit results,2021-12-27 15:15:00+00:00
164,First download of assignment,2021-12-27 07:30:00+00:00
164,Revisit PM Exercise in Moodle,2021-12-27 14:17:00+00:00
164,Coordinate with Assignment Group,2021-12-27 14:39:00+00:00
164,Solve tasks together,2021-12-27 14:57:00+00:00
164,Recheck/Compare Task Results,2021-12-27 15:07:00+00:00
164,Submit results,2021-12-27 15:17:00+00:00
148,First download of assignment,2021-12-27 07:30:00+00:00
148,Revisit PM Exercise in Moodle,2021-12-27 15:11:00+00:00
148,Solve tasks individually,2021-12-27 15:34:00+00:00
148,Recheck/Compare Task Results,2021-12-27 15:43:00+00:00
148,Coordinate with Assignment Group,2021-12-27 15:46:00+00:00
148,Redo Task(s),2021-12-27 15:50:00+00:00
148,Solve tasks individually,2021-12-27 15:55:00+00:00
148,Recheck/Compare Task Results,2021-12-27 16:00:00+00:00
148,Redo Task(s),2021-12-27 16:07:00+00:00
148,Solve tasks individually,2021-12-27 16:24:00+00:00
148,Recheck/Compare Task Results,2021-12-27 16:32:00+00:00
148,Submit results,2021-12-27 16:40:00+00:00
153,First download of assignment,2021-12-27 07:30:00+00:00
153,Revisit PM Exercise in Moodle,2021-12-27 16:11:00+00:00
153,Coordinate with Assignment Group,2021-12-27 17:00:00+00:00
153,Solve tasks together,2021-12-27 17:09:00+00:00
153,Recheck/Compare Task Results,2021-12-27 17:16:00+00:00
153,Submit results,2021-12-27 17:23:00+00:00
168,First download of assignment,2021-12-28 07:30:00+00:00
168,Revisit PM Exercise in Moodle,2021-12-28 08:10:00+00:00
168,Coordinate with Assignment Group,2021-12-28 08:31:00+00:00
168,Solve tasks together,2021-12-28 08:56:00+00:00
168,Recheck/Compare Task Results,2021-12-28 09:05:00+00:00
168,Submit results,2021-12-28 09:11:00+00:00
165,First download of assignment,2021-12-28 07:30:00+00:00
165,Revisit PM Exercise in Moodle,2021-12-28 08:35:00+00:00
165,Coordinate with Assignment Group,2021-12-28 08:57:00+00:00
165,Solve tasks individually,2021-12-28 09:07:00+00:00
165,Recheck/Compare Task Results,2021-12-28 09:12:00+00:00
165,Submit results,2021-12-28 09:20:00+00:00
170,First download of assignment,2021-12-28 07:30:00+00:00
170,Revisit PM Exercise in Moodle,2021-12-28 08:43:00+00:00
170,Solve tasks individually,2021-12-28 09:10:00+00:00
170,Coordinate with Assignment Group,2021-12-28 09:17:00+00:00
170,Recheck/Compare Task Results,2021-12-28 09:20:00+00:00
170,Redo Task(s),2021-12-28 09:27:00+00:00
170,Solve tasks individually,2021-12-28 09:32:00+00:00
170,Recheck/Compare Task Results,2021-12-28 09:37:00+00:00
170,Redo Task(s),2021-12-28 09:47:00+00:00
170,Solve tasks individually,2021-12-28 09:59:00+00:00
170,Recheck/Compare Task Results,2021-12-28 10:05:00+00:00
170,Submit results,2021-12-28 10:14:00+00:00
172,First download of assignment,2021-12-28 07:30:00+00:00
172,Revisit PM Exercise in Moodle,2021-12-28 09:29:00+00:00
172,Solve tasks individually,2021-12-28 09:52:00+00:00
172,Recheck/Compare Task Results,2021-12-28 10:00:00+00:00
172,Redo Task(s),2021-12-28 10:05:00+00:00
172,Coordinate with Assignment Group,2021-12-28 10:15:00+00:00
172,Solve tasks together,2021-12-28 10:15:00+00:00
172,Recheck/Compare Task Results,2021-12-28 10:24:00+00:00
172,Submit results,2021-12-28 10:30:00+00:00
173,First download of assignment,2021-12-28 07:30:00+00:00
173,Revisit PM Exercise in Moodle,2021-12-28 09:44:00+00:00
173,Coordinate with Assignment Group,2021-12-28 10:02:00+00:00
173,Solve tasks together,2021-12-28 10:17:00+00:00
173,Recheck/Compare Task Results,2021-12-28 10:26:00+00:00
173,Submit results,2021-12-28 10:31:00+00:00
169,First download of assignment,2021-12-28 07:30:00+00:00
169,Revisit PM Exercise in Moodle,2021-12-28 10:06:00+00:00
169,Coordinate with Assignment Group,2021-12-28 10:36:00+00:00
169,Solve tasks individually,2021-12-28 10:46:00+00:00
169,Recheck/Compare Task Results,2021-12-28 10:56:00+00:00
169,Redo Task(s),2021-12-28 11:06:00+00:00
169,Solve tasks individually,2021-12-28 11:20:00+00:00
169,Recheck/Compare Task Results,2021-12-28 11:25:00+00:00
169,Submit results,2021-12-28 11:30:00+00:00
167,First download of assignment,2021-12-28 07:30:00+00:00
167,Revisit PM Exercise in Moodle,2021-12-28 11:31:00+00:00
167,Coordinate with Assignment Group,2021-12-28 11:53:00+00:00
167,Solve tasks together,2021-12-28 13:13:00+00:00
167,Recheck/Compare Task Results,2021-12-28 13:23:00+00:00
167,Redo Task(s),2021-12-28 13:32:00+00:00
167,Solve tasks together,2021-12-28 13:48:00+00:00
167,Recheck/Compare Task Results,2021-12-28 13:54:00+00:00
167,Submit results,2021-12-28 14:00:00+00:00
175,First download of assignment,2021-12-28 07:30:00+00:00
175,Revisit PM Exercise in Moodle,2021-12-28 15:39:00+00:00
175,Solve tasks individually,2021-12-28 15:56:00+00:00
175,Recheck/Compare Task Results,2021-12-28 16:03:00+00:00
175,Submit results,2021-12-28 16:20:00+00:00
175,Coordinate with Assignment Group,2021-12-28 16:20:00+00:00
166,First download of assignment,2021-12-28 07:30:00+00:00
166,Revisit PM Exercise in Moodle,2021-12-28 16:42:00+00:00
166,Coordinate with Assignment Group,2021-12-28 16:57:00+00:00
166,Solve tasks together,2021-12-28 17:13:00+00:00
166,Recheck/Compare Task Results,2021-12-28 17:21:00+00:00
166,Submit results,2021-12-28 17:29:00+00:00
174,First download of assignment,2021-12-28 07:30:00+00:00
174,Revisit PM Exercise in Moodle,2021-12-28 17:05:00+00:00
174,Coordinate with Assignment Group,2021-12-28 17:31:00+00:00
174,Solve tasks individually,2021-12-28 17:32:00+00:00
174,Recheck/Compare Task Results,2021-12-28 17:37:00+00:00
174,Submit results,2021-12-28 17:47:00+00:00
176,First download of assignment,2021-12-28 07:30:00+00:00
176,Revisit PM Exercise in Moodle,2021-12-28 17:08:00+00:00
176,Coordinate with Assignment Group,2021-12-28 17:24:00+00:00
176,Solve tasks individually,2021-12-28 17:36:00+00:00
176,Recheck/Compare Task Results,2021-12-28 17:45:00+00:00
176,Submit results,2021-12-28 17:53:00+00:00
187,First download of assignment,2021-12-29 07:30:00+00:00
187,Revisit PM Exercise in Moodle,2021-12-29 08:26:00+00:00
187,Solve tasks together,2021-12-29 08:41:00+00:00
187,Recheck/Compare Task Results,2021-12-29 08:51:00+00:00
187,Coordinate with Assignment Group,2021-12-29 08:55:00+00:00
187,Submit results,2021-12-29 08:59:00+00:00
197,First download of assignment,2021-12-29 07:30:00+00:00
197,Revisit PM Exercise in Moodle,2021-12-29 08:35:00+00:00
197,Coordinate with Assignment Group,2021-12-29 09:05:00+00:00
197,Solve tasks individually,2021-12-29 09:09:00+00:00
197,Recheck/Compare Task Results,2021-12-29 09:18:00+00:00
197,Submit results,2021-12-29 09:25:00+00:00
185,First download of assignment,2021-12-29 07:30:00+00:00
185,Revisit PM Exercise in Moodle,2021-12-29 08:51:00+00:00
185,Solve tasks together,2021-12-29 09:20:00+00:00
185,Recheck/Compare Task Results,2021-12-29 09:25:00+00:00
185,Coordinate with Assignment Group,2021-12-29 09:38:00+00:00
185,Submit results,2021-12-29 09:38:00+00:00
177,First download of assignment,2021-12-29 07:30:00+00:00
177,Revisit PM Exercise in Moodle,2021-12-29 08:53:00+00:00
177,Solve tasks individually,2021-12-29 09:11:00+00:00
177,Recheck/Compare Task Results,2021-12-29 09:19:00+00:00
177,Redo Task(s),2021-12-29 09:27:00+00:00
177,Coordinate with Assignment Group,2021-12-29 09:30:00+00:00
177,Solve tasks together,2021-12-29 09:37:00+00:00
177,Recheck/Compare Task Results,2021-12-29 09:46:00+00:00
177,Submit results,2021-12-29 09:51:00+00:00
182,First download of assignment,2021-12-29 07:30:00+00:00
182,Revisit PM Exercise in Moodle,2021-12-29 09:36:00+00:00
182,Solve tasks individually,2021-12-29 10:18:00+00:00
182,Coordinate with Assignment Group,2021-12-29 10:23:00+00:00
182,Recheck/Compare Task Results,2021-12-29 10:24:00+00:00
182,Submit results,2021-12-29 10:29:00+00:00
193,First download of assignment,2021-12-29 07:30:00+00:00
193,Revisit PM Exercise in Moodle,2021-12-29 09:44:00+00:00
193,Solve tasks together,2021-12-29 10:06:00+00:00
193,Recheck/Compare Task Results,2021-12-29 10:12:00+00:00
193,Coordinate with Assignment Group,2021-12-29 10:16:00+00:00
193,Submit results,2021-12-29 10:20:00+00:00
196,First download of assignment,2021-12-29 07:30:00+00:00
196,Revisit PM Exercise in Moodle,2021-12-29 10:26:00+00:00
196,Solve tasks individually,2021-12-29 10:56:00+00:00
196,Recheck/Compare Task Results,2021-12-29 11:06:00+00:00
196,Redo Task(s),2021-12-29 11:11:00+00:00
196,Coordinate with Assignment Group,2021-12-29 11:13:00+00:00
196,Solve tasks individually,2021-12-29 11:19:00+00:00
196,Recheck/Compare Task Results,2021-12-29 11:28:00+00:00
196,Submit results,2021-12-29 11:37:00+00:00
179,First download of assignment,2021-12-29 07:30:00+00:00
179,Revisit PM Exercise in Moodle,2021-12-29 10:53:00+00:00
179,Coordinate with Assignment Group,2021-12-29 11:39:00+00:00
179,Solve tasks together,2021-12-29 11:39:00+00:00
179,Recheck/Compare Task Results,2021-12-29 11:45:00+00:00
179,Submit results,2021-12-29 11:52:00+00:00
188,First download of assignment,2021-12-29 07:30:00+00:00
188,Revisit PM Exercise in Moodle,2021-12-29 11:52:00+00:00
188,Coordinate with Assignment Group,2021-12-29 13:23:00+00:00
188,Solve tasks individually,2021-12-29 13:32:00+00:00
188,Recheck/Compare Task Results,2021-12-29 13:42:00+00:00
188,Submit results,2021-12-29 13:47:00+00:00
184,First download of assignment,2021-12-29 07:30:00+00:00
184,Revisit PM Exercise in Moodle,2021-12-29 11:58:00+00:00
184,Solve tasks together,2021-12-29 13:25:00+00:00
184,Coordinate with Assignment Group,2021-12-29 13:33:00+00:00
184,Recheck/Compare Task Results,2021-12-29 13:34:00+00:00
184,Submit results,2021-12-29 13:43:00+00:00
180,First download of assignment,2021-12-29 07:30:00+00:00
180,Revisit PM Exercise in Moodle,2021-12-29 13:33:00+00:00
180,Solve tasks together,2021-12-29 13:48:00+00:00
180,Coordinate with Assignment Group,2021-12-29 13:57:00+00:00
180,Recheck/Compare Task Results,2021-12-29 13:57:00+00:00
180,Submit results,2021-12-29 14:03:00+00:00
190,First download of assignment,2021-12-29 07:30:00+00:00
190,Revisit PM Exercise in Moodle,2021-12-29 13:45:00+00:00
190,Solve tasks individually,2021-12-29 14:13:00+00:00
190,Recheck/Compare Task Results,2021-12-29 14:18:00+00:00
190,Coordinate with Assignment Group,2021-12-29 14:25:00+00:00
190,Redo Task(s),2021-12-29 14:28:00+00:00
190,Solve tasks individually,2021-12-29 14:47:00+00:00
190,Recheck/Compare Task Results,2021-12-29 14:57:00+00:00
190,Submit results,2021-12-29 15:07:00+00:00
195,First download of assignment,2021-12-29 07:30:00+00:00
195,Revisit PM Exercise in Moodle,2021-12-29 14:34:00+00:00
195,Coordinate with Assignment Group,2021-12-29 15:03:00+00:00
195,Solve tasks together,2021-12-29 15:36:00+00:00
195,Recheck/Compare Task Results,2021-12-29 15:45:00+00:00
195,Submit results,2021-12-29 15:50:00+00:00
186,First download of assignment,2021-12-29 07:30:00+00:00
186,Revisit PM Exercise in Moodle,2021-12-29 14:46:00+00:00
186,Solve tasks individually,2021-12-29 14:53:00+00:00
186,Recheck/Compare Task Results,2021-12-29 14:59:00+00:00
186,Redo Task(s),2021-12-29 15:07:00+00:00
186,Coordinate with Assignment Group,2021-12-29 15:13:00+00:00
186,Solve tasks individually,2021-12-29 15:14:00+00:00
186,Recheck/Compare Task Results,2021-12-29 15:23:00+00:00
186,Redo Task(s),2021-12-29 15:29:00+00:00
186,Solve tasks individually,2021-12-29 15:39:00+00:00
186,Recheck/Compare Task Results,2021-12-29 15:44:00+00:00
186,Submit results,2021-12-29 15:53:00+00:00
181,First download of assignment,2021-12-29 07:30:00+00:00
181,Revisit PM Exercise in Moodle,2021-12-29 14:49:00+00:00
181,Solve tasks individually,2021-12-29 15:05:00+00:00
181,Coordinate with Assignment Group,2021-12-29 15:09:00+00:00
181,Recheck/Compare Task Results,2021-12-29 15:14:00+00:00
181,Redo Task(s),2021-12-29 15:20:00+00:00
181,Solve tasks individually,2021-12-29 15:34:00+00:00
181,Recheck/Compare Task Results,2021-12-29 15:41:00+00:00
181,Redo Task(s),2021-12-29 15:51:00+00:00
181,Solve tasks individually,2021-12-29 16:07:00+00:00
181,Recheck/Compare Task Results,2021-12-29 16:12:00+00:00
181,Submit results,2021-12-29 16:21:00+00:00
194,First download of assignment,2021-12-29 07:30:00+00:00
194,Revisit PM Exercise in Moodle,2021-12-29 15:03:00+00:00
194,Solve tasks together,2021-12-29 15:37:00+00:00
194,Coordinate with Assignment Group,2021-12-29 15:37:00+00:00
194,Recheck/Compare Task Results,2021-12-29 15:43:00+00:00
194,Submit results,2021-12-29 15:53:00+00:00
183,First download of assignment,2021-12-29 07:30:00+00:00
183,Revisit PM Exercise in Moodle,2021-12-29 15:21:00+00:00
183,Solve tasks together,2021-12-29 15:44:00+00:00
183,Recheck/Compare Task Results,2021-12-29 15:51:00+00:00
183,Coordinate with Assignment Group,2021-12-29 16:09:00+00:00
183,Submit results,2021-12-29 16:09:00+00:00
191,First download of assignment,2021-12-29 07:30:00+00:00
191,Revisit PM Exercise in Moodle,2021-12-29 16:22:00+00:00
191,Solve tasks together,2021-12-29 16:55:00+00:00
191,Recheck/Compare Task Results,2021-12-29 17:00:00+00:00
191,Coordinate with Assignment Group,2021-12-29 17:06:00+00:00
191,Submit results,2021-12-29 17:10:00+00:00
198,First download of assignment,2021-12-29 07:30:00+00:00
198,Revisit PM Exercise in Moodle,2021-12-29 16:40:00+00:00
198,Coordinate with Assignment Group,2021-12-29 16:57:00+00:00
198,Solve tasks individually,2021-12-29 17:09:00+00:00
198,Recheck/Compare Task Results,2021-12-29 17:14:00+00:00
198,Submit results,2021-12-29 17:22:00+00:00
189,First download of assignment,2021-12-29 07:30:00+00:00
189,Revisit PM Exercise in Moodle,2021-12-29 17:00:00+00:00
189,Solve tasks individually,2021-12-29 17:10:00+00:00
189,Recheck/Compare Task Results,2021-12-29 17:20:00+00:00
189,Redo Task(s),2021-12-29 17:26:00+00:00
189,Coordinate with Assignment Group,2021-12-29 17:40:00+00:00
189,Solve tasks individually,2021-12-29 17:44:00+00:00
189,Recheck/Compare Task Results,2021-12-29 17:54:00+00:00
189,Submit results,2021-12-29 17:59:00+00:00
200,First download of assignment,2021-12-29 07:30:00+00:00
200,Revisit PM Exercise in Moodle,2021-12-29 17:30:00+00:00
200,Solve tasks together,2021-12-30 08:03:00+00:00
200,Coordinate with Assignment Group,2021-12-30 08:06:00+00:00
200,Recheck/Compare Task Results,2021-12-30 08:08:00+00:00
200,Submit results,2021-12-30 08:18:00+00:00
199,First download of assignment,2021-12-29 07:30:00+00:00
199,Revisit PM Exercise in Moodle,2021-12-29 17:43:00+00:00
199,Solve tasks together,2021-12-30 08:15:00+00:00
199,Recheck/Compare Task Results,2021-12-30 08:20:00+00:00
199,Coordinate with Assignment Group,2021-12-30 08:28:00+00:00
199,Submit results,2021-12-30 08:28:00+00:00
178,First download of assignment,2021-12-29 07:30:00+00:00
178,Revisit PM Exercise in Moodle,2021-12-29 17:55:00+00:00
178,Coordinate with Assignment Group,2021-12-30 08:19:00+00:00
178,Solve tasks together,2021-12-30 08:36:00+00:00
178,Recheck/Compare Task Results,2021-12-30 08:42:00+00:00
178,Submit results,2021-12-30 08:47:00+00:00
208,First download of assignment,2021-12-30 07:30:00+00:00
208,Revisit PM Exercise in Moodle,2021-12-30 09:20:00+00:00
208,Solve tasks individually,2021-12-30 09:34:00+00:00
208,Recheck/Compare Task Results,2021-12-30 09:43:00+00:00
208,Redo Task(s),2021-12-30 09:51:00+00:00
208,Coordinate with Assignment Group,2021-12-30 09:55:00+00:00
208,Solve tasks individually,2021-12-30 09:57:00+00:00
208,Recheck/Compare Task Results,2021-12-30 10:05:00+00:00
208,Submit results,2021-12-30 10:13:00+00:00
201,First download of assignment,2021-12-30 07:30:00+00:00
201,Revisit PM Exercise in Moodle,2021-12-30 09:22:00+00:00
201,Solve tasks together,2021-12-30 09:35:00+00:00
201,Coordinate with Assignment Group,2021-12-30 09:37:00+00:00
201,Recheck/Compare Task Results,2021-12-30 09:41:00+00:00
201,Submit results,2021-12-30 09:48:00+00:00
209,First download of assignment,2021-12-30 07:30:00+00:00
209,Revisit PM Exercise in Moodle,2021-12-30 09:21:00+00:00
209,Solve tasks individually,2021-12-30 09:45:00+00:00
209,Recheck/Compare Task Results,2021-12-30 09:55:00+00:00
209,Coordinate with Assignment Group,2021-12-30 10:00:00+00:00
209,Submit results,2021-12-30 10:03:00+00:00
206,First download of assignment,2021-12-30 07:30:00+00:00
206,Revisit PM Exercise in Moodle,2021-12-30 09:38:00+00:00
206,Coordinate with Assignment Group,2021-12-30 09:53:00+00:00
206,Solve tasks together,2021-12-30 10:50:00+00:00
206,Recheck/Compare Task Results,2021-12-30 10:55:00+00:00
206,Submit results,2021-12-30 11:00:00+00:00
210,First download of assignment,2021-12-30 07:30:00+00:00
210,Revisit PM Exercise in Moodle,2021-12-30 09:53:00+00:00
210,Solve tasks together,2021-12-30 10:22:00+00:00
210,Recheck/Compare Task Results,2021-12-30 10:29:00+00:00
210,Coordinate with Assignment Group,2021-12-30 10:29:00+00:00
210,Submit results,2021-12-30 10:38:00+00:00
213,First download of assignment,2021-12-30 07:30:00+00:00
213,Revisit PM Exercise in Moodle,2021-12-30 10:38:00+00:00
213,Coordinate with Assignment Group,2021-12-30 11:13:00+00:00
213,Solve tasks together,2021-12-30 11:17:00+00:00
213,Recheck/Compare Task Results,2021-12-30 11:22:00+00:00
213,Submit results,2021-12-30 11:29:00+00:00
202,First download of assignment,2021-12-30 07:30:00+00:00
202,Revisit PM Exercise in Moodle,2021-12-30 10:46:00+00:00
202,Coordinate with Assignment Group,2021-12-30 11:03:00+00:00
202,Solve tasks together,2021-12-30 11:40:00+00:00
202,Recheck/Compare Task Results,2021-12-30 11:46:00+00:00
202,Submit results,2021-12-30 11:55:00+00:00
216,First download of assignment,2021-12-30 07:30:00+00:00
216,Revisit PM Exercise in Moodle,2021-12-30 10:59:00+00:00
216,Solve tasks together,2021-12-30 11:32:00+00:00
216,Coordinate with Assignment Group,2021-12-30 11:37:00+00:00
216,Recheck/Compare Task Results,2021-12-30 11:38:00+00:00
216,Submit results,2021-12-30 11:44:00+00:00
205,First download of assignment,2021-12-30 07:30:00+00:00
205,Revisit PM Exercise in Moodle,2021-12-30 11:35:00+00:00
205,Solve tasks together,2021-12-30 11:51:00+00:00
205,Recheck/Compare Task Results,2021-12-30 13:01:00+00:00
205,Coordinate with Assignment Group,2021-12-30 13:10:00+00:00
205,Submit results,2021-12-30 13:10:00+00:00
212,First download of assignment,2021-12-30 07:30:00+00:00
212,Revisit PM Exercise in Moodle,2021-12-30 13:04:00+00:00
212,Solve tasks together,2021-12-30 13:24:00+00:00
212,Recheck/Compare Task Results,2021-12-30 13:32:00+00:00
212,Coordinate with Assignment Group,2021-12-30 13:49:00+00:00
212,Submit results,2021-12-30 13:49:00+00:00
214,First download of assignment,2021-12-30 07:30:00+00:00
214,Revisit PM Exercise in Moodle,2021-12-30 14:35:00+00:00
214,Coordinate with Assignment Group,2021-12-30 14:52:00+00:00
214,Solve tasks together,2021-12-30 15:05:00+00:00
214,Recheck/Compare Task Results,2021-12-30 15:14:00+00:00
214,Redo Task(s),2021-12-30 15:22:00+00:00
214,Solve tasks together,2021-12-30 15:33:00+00:00
214,Recheck/Compare Task Results,2021-12-30 15:42:00+00:00
214,Submit results,2021-12-30 15:47:00+00:00
217,First download of assignment,2021-12-30 07:30:00+00:00
217,Revisit PM Exercise in Moodle,2021-12-30 15:13:00+00:00
217,Coordinate with Assignment Group,2021-12-30 15:32:00+00:00
217,Solve tasks together,2021-12-30 16:02:00+00:00
217,Recheck/Compare Task Results,2021-12-30 16:09:00+00:00
217,Submit results,2021-12-30 16:17:00+00:00
207,First download of assignment,2021-12-30 07:30:00+00:00
207,Revisit PM Exercise in Moodle,2021-12-30 15:27:00+00:00
207,Coordinate with Assignment Group,2021-12-30 15:52:00+00:00
207,Solve tasks individually,2021-12-30 15:52:00+00:00
207,Recheck/Compare Task Results,2021-12-30 16:00:00+00:00
207,Submit results,2021-12-30 16:06:00+00:00
218,First download of assignment,2021-12-30 07:30:00+00:00
218,Revisit PM Exercise in Moodle,2021-12-30 15:46:00+00:00
218,Solve tasks individually,2021-12-30 16:00:00+00:00
218,Recheck/Compare Task Results,2021-12-30 16:09:00+00:00
218,Submit results,2021-12-30 16:24:00+00:00
218,Coordinate with Assignment Group,2021-12-30 16:24:00+00:00
215,First download of assignment,2021-12-30 07:30:00+00:00
215,Revisit PM Exercise in Moodle,2021-12-30 17:36:00+00:00
215,Coordinate with Assignment Group,2021-12-31 08:02:00+00:00
215,Solve tasks together,2021-12-31 08:41:00+00:00
215,Recheck/Compare Task Results,2021-12-31 08:46:00+00:00
215,Submit results,2021-12-31 08:53:00+00:00
220,First download of assignment,2021-12-31 07:30:00+00:00
220,Revisit PM Exercise in Moodle,2021-12-31 08:10:00+00:00
220,Coordinate with Assignment Group,2021-12-31 08:39:00+00:00
220,Solve tasks together,2021-12-31 08:39:00+00:00
220,Recheck/Compare Task Results,2021-12-31 08:44:00+00:00
220,Submit results,2021-12-31 08:49:00+00:00
227,First download of assignment,2021-12-31 07:30:00+00:00
227,Revisit PM Exercise in Moodle,2021-12-31 09:41:00+00:00
227,Solve tasks together,2021-12-31 10:19:00+00:00
227,Recheck/Compare Task Results,2021-12-31 10:24:00+00:00
227,Coordinate with Assignment Group,2021-12-31 10:30:00+00:00
227,Submit results,2021-12-31 10:30:00+00:00
232,First download of assignment,2021-12-31 07:30:00+00:00
232,Revisit PM Exercise in Moodle,2021-12-31 10:16:00+00:00
232,Coordinate with Assignment Group,2021-12-31 10:52:00+00:00
232,Solve tasks individually,2021-12-31 10:53:00+00:00
232,Recheck/Compare Task Results,2021-12-31 10:58:00+00:00
